Student_ID,Attendance (%),Internal Test 1 (out of 40),Internal Test 2 (out of 40),Assignment Score (out of 10),Daily Study Hours,Final Exam Marks (out of 100),Academic_Risk,Attendance_Category,Study_Hours_Category,Average_Internal_Score,Total_Internal_Score,Engagement_Score,Engagement_Level,Performance_Grade
S1056,77,33,31,8,3,62,Moderate Risk,Good,Moderate,32.0,64,0.7233333333333333,Moderate,D
S1057,84,39,31,8,3,76,Low Risk,Good,Moderate,35.0,70,0.7466666666666667,Moderate,C
S1058,88,29,38,8,3,63,Moderate Risk,Good,Moderate,33.5,67,0.7600000000000001,Moderate,D
S1059,76,33,37,8,3,73,Moderate Risk,Good,Moderate,35.0,70,0.7200000000000001,Moderate,C
S1060,93,38,23,8,3,65,Moderate Risk,Excellent,Moderate,30.5,61,0.7766666666666667,Moderate,D
S1061,77,25,30,7,4,58,Moderate Risk,Good,Moderate,27.5,55,0.7566666666666667,Moderate,E
S1062,74,29,33,7,3,57,Moderate Risk,Average,Moderate,31.0,62,0.68,Moderate,E
S1063,78,26,27,7,2,48,High Risk,Good,Low,26.5,53,0.6266666666666666,Moderate,F
S1064,82,36,38,8,3,77,Low Risk,Good,Moderate,37.0,74,0.7400000000000001,Moderate,C
S1065,78,36,27,8,3,51,Moderate Risk,Good,Moderate,31.5,63,0.7266666666666667,Moderate,E
S1066,95,37,34,8,2,63,Moderate Risk,Excellent,Low,35.5,71,0.7166666666666667,Moderate,D
S1067,85,39,40,10,3,75,Low Risk,Good,Moderate,39.5,79,0.8166666666666668,High,C
S1068,74,25,31,6,3,58,Moderate Risk,Average,Moderate,28.0,56,0.6466666666666666,Moderate,E
S1069,88,38,31,7,3,78,Low Risk,Good,Moderate,34.5,69,0.7266666666666667,Moderate,C
S1070,74,21,31,6,3,44,High Risk,Average,Moderate,26.0,52,0.6466666666666666,Moderate,F
S1071,97,36,30,8,3,71,Moderate Risk,Excellent,Moderate,33.0,66,0.79,Moderate,C
S1072,75,31,26,7,2,58,Moderate Risk,Good,Low,28.5,57,0.6166666666666667,Moderate,E
S1073,81,35,35,8,3,73,Moderate Risk,Good,Moderate,35.0,70,0.7366666666666667,Moderate,C
S1074,87,31,34,8,4,66,Moderate Risk,Good,Moderate,32.5,65,0.8233333333333333,High,D
S1075,79,30,28,6,3,60,Moderate Risk,Good,Moderate,29.0,58,0.6633333333333334,Moderate,D
S1076,77,33,32,6,3,65,Moderate Risk,Good,Moderate,32.5,65,0.6566666666666667,Moderate,D
S1077,87,28,32,6,3,66,Moderate Risk,Good,Moderate,30.0,60,0.69,Moderate,D
S1078,73,33,29,7,3,61,Moderate Risk,Average,Moderate,31.0,62,0.6766666666666666,Moderate,D
S1079,93,37,40,9,3,76,Low Risk,Excellent,Moderate,38.5,77,0.81,High,C
S1080,75,35,31,7,3,67,Moderate Risk,Good,Moderate,33.0,66,0.6833333333333332,Moderate,D
S1081,75,29,34,7,2,53,Moderate Risk,Good,Low,31.5,63,0.6166666666666667,Moderate,E
S1082,84,35,35,7,3,67,Moderate Risk,Good,Moderate,35.0,70,0.7133333333333334,Moderate,D
S1083,67,31,30,6,3,50,Moderate Risk,Average,Moderate,30.5,61,0.6233333333333334,Moderate,E
S1084,85,34,30,7,3,57,Moderate Risk,Good,Moderate,32.0,64,0.7166666666666667,Moderate,E
S1085,79,28,33,6,2,60,Moderate Risk,Good,Low,30.5,61,0.5966666666666667,Low,D
S1086,88,32,32,7,3,68,Moderate Risk,Good,Moderate,32.0,64,0.7266666666666667,Moderate,D
S1087,84,40,36,9,4,74,Moderate Risk,Good,Moderate,38.0,76,0.8466666666666667,High,C
S1088,92,33,34,8,3,66,Moderate Risk,Excellent,Moderate,33.5,67,0.7733333333333334,Moderate,D
S1089,78,33,35,8,3,69,Moderate Risk,Good,Moderate,34.0,68,0.7266666666666667,Moderate,D
S1090,91,40,36,8,2,73,Moderate Risk,Excellent,Low,38.0,76,0.7033333333333333,Moderate,C
S1091,85,37,40,9,3,71,Moderate Risk,Good,Moderate,38.5,77,0.7833333333333333,Moderate,C
S1092,81,33,34,8,3,66,Moderate Risk,Good,Moderate,33.5,67,0.7366666666666667,Moderate,D
S1093,87,32,31,6,4,65,Moderate Risk,Good,Moderate,31.5,63,0.7566666666666667,Moderate,D
S1094,79,33,24,7,2,53,Moderate Risk,Good,Low,28.5,57,0.63,Moderate,E
S1095,80,26,32,7,3,56,Moderate Risk,Good,Moderate,29.0,58,0.7000000000000001,Moderate,E
S1096,81,33,33,9,3,62,Moderate Risk,Good,Moderate,33.0,66,0.77,Moderate,D
S1097,86,27,36,7,2,69,Moderate Risk,Good,Low,31.5,63,0.6533333333333333,Moderate,D
S1098,84,36,33,7,3,71,Moderate Risk,Good,Moderate,34.5,69,0.7133333333333334,Moderate,C
S1099,68,27,29,6,2,45,High Risk,Average,Low,28.0,56,0.56,Low,F
S1100,96,34,37,8,3,80,Low Risk,Excellent,Moderate,35.5,71,0.7866666666666666,Moderate,B
S1101,99,30,40,9,4,80,Low Risk,Excellent,Moderate,35.0,70,0.8966666666666668,High,B
S1102,80,30,29,8,3,57,Moderate Risk,Good,Moderate,29.5,59,0.7333333333333334,Moderate,E
S1103,92,36,28,7,3,67,Moderate Risk,Excellent,Moderate,32.0,64,0.7400000000000001,Moderate,D
S1104,89,26,34,6,2,56,Moderate Risk,Good,Low,30.0,60,0.63,Moderate,E
S1105,82,31,34,8,3,69,Moderate Risk,Good,Moderate,32.5,65,0.7400000000000001,Moderate,D
S1106,83,34,40,9,2,69,Moderate Risk,Good,Low,37.0,74,0.71,Moderate,D
S1107,94,32,34,6,3,74,Moderate Risk,Excellent,Moderate,33.0,66,0.7133333333333334,Moderate,C
S1108,72,30,32,7,3,55,Moderate Risk,Average,Moderate,31.0,62,0.6733333333333333,Moderate,E
S1109,92,36,34,7,4,73,Moderate Risk,Excellent,Moderate,35.0,70,0.8066666666666666,High,C
S1110,95,36,34,8,3,83,Low Risk,Excellent,Moderate,35.0,70,0.7833333333333333,Moderate,B
S1111,80,29,35,8,3,66,Moderate Risk,Good,Moderate,32.0,64,0.7333333333333334,Moderate,D
S1112,97,33,40,9,3,88,Low Risk,Excellent,Moderate,36.5,73,0.8233333333333334,High,B
S1113,91,32,29,7,2,52,Moderate Risk,Excellent,Low,30.5,61,0.6699999999999999,Moderate,E
S1114,94,35,31,7,4,75,Low Risk,Excellent,Moderate,33.0,66,0.8133333333333334,High,C
S1115,84,32,31,8,3,57,Moderate Risk,Good,Moderate,31.5,63,0.7466666666666667,Moderate,E
S1116,77,27,30,7,2,49,High Risk,Good,Low,28.5,57,0.6233333333333334,Moderate,F
S1117,82,33,31,7,3,57,Moderate Risk,Good,Moderate,32.0,64,0.7066666666666667,Moderate,E
S1118,67,18,32,5,1,35,High Risk,Average,Low,25.0,50,0.4566666666666666,Low,F
S1119,78,24,28,7,3,46,High Risk,Good,Moderate,26.0,52,0.6933333333333334,Moderate,F
S1120,90,32,33,9,2,65,Moderate Risk,Excellent,Low,32.5,65,0.7333333333333334,Moderate,D
S1121,78,27,33,7,3,62,Moderate Risk,Good,Moderate,30.0,60,0.6933333333333334,Moderate,D
S1122,88,36,33,8,3,73,Moderate Risk,Good,Moderate,34.5,69,0.7600000000000001,Moderate,C
S1123,100,24,38,8,4,73,Moderate Risk,Excellent,Moderate,31.0,62,0.8666666666666667,High,C
S1124,81,29,30,8,2,55,Moderate Risk,Good,Low,29.5,59,0.67,Moderate,E
S1125,88,33,39,8,3,78,Low Risk,Good,Moderate,36.0,72,0.7600000000000001,Moderate,C
S1126,73,33,31,7,3,66,Moderate Risk,Average,Moderate,32.0,64,0.6766666666666666,Moderate,D
S1127,93,36,36,8,4,72,Moderate Risk,Excellent,Moderate,36.0,72,0.8433333333333334,High,C
S1128,92,37,35,7,4,69,Moderate Risk,Excellent,Moderate,36.0,72,0.8066666666666666,High,D
S1129,80,31,29,7,3,59,Moderate Risk,Good,Moderate,30.0,60,0.7000000000000001,Moderate,E
S1130,77,33,29,7,2,49,High Risk,Good,Low,31.0,62,0.6233333333333334,Moderate,F
S1131,81,40,27,8,3,66,Moderate Risk,Good,Moderate,33.5,67,0.7366666666666667,Moderate,D
S1132,75,35,28,8,2,58,Moderate Risk,Good,Low,31.5,63,0.65,Moderate,E
S1133,89,40,31,9,3,78,Low Risk,Good,Moderate,35.5,71,0.7966666666666667,Moderate,C
S1134,93,37,35,9,3,76,Low Risk,Excellent,Moderate,36.0,72,0.81,High,C
S1135,86,32,31,7,3,63,Moderate Risk,Good,Moderate,31.5,63,0.7200000000000001,Moderate,D
S1136,71,34,20,6,2,42,High Risk,Average,Low,27.0,54,0.57,Low,F
S1137,98,31,38,7,3,78,Low Risk,Excellent,Moderate,34.5,69,0.7599999999999999,Moderate,C
S1138,89,30,39,7,3,78,Low Risk,Good,Moderate,34.5,69,0.73,Moderate,C
S1139,87,35,40,9,3,89,Low Risk,Good,Moderate,37.5,75,0.79,Moderate,B
S1140,72,23,33,6,4,58,Moderate Risk,Average,Moderate,28.0,56,0.7066666666666667,Moderate,E
S1141,84,37,34,9,3,71,Moderate Risk,Good,Moderate,35.5,71,0.7799999999999999,Moderate,C
S1142,85,31,29,8,3,61,Moderate Risk,Good,Moderate,30.0,60,0.75,Moderate,D
S1143,86,38,31,9,2,72,Moderate Risk,Good,Low,34.5,69,0.7200000000000001,Moderate,C
S1144,90,25,40,8,3,69,Moderate Risk,Excellent,Moderate,32.5,65,0.7666666666666667,Moderate,D
S1145,78,37,33,8,3,75,Low Risk,Good,Moderate,35.0,70,0.7266666666666667,Moderate,C
S1146,81,31,34,7,3,65,Moderate Risk,Good,Moderate,32.5,65,0.7033333333333333,Moderate,D
S1147,79,29,34,8,2,56,Moderate Risk,Good,Low,31.5,63,0.6633333333333334,Moderate,E
S1148,83,36,30,9,2,55,Moderate Risk,Good,Low,33.0,66,0.71,Moderate,E
S1149,70,21,37,6,2,49,High Risk,Average,Low,29.0,58,0.5666666666666665,Low,F
S1150,93,30,31,7,3,66,Moderate Risk,Excellent,Moderate,30.5,61,0.7433333333333333,Moderate,D
S1151,89,36,38,10,3,80,Low Risk,Good,Moderate,37.0,74,0.8300000000000001,High,B
S1152,91,35,32,8,3,69,Moderate Risk,Excellent,Moderate,33.5,67,0.77,Moderate,D
S1153,84,33,36,8,3,69,Moderate Risk,Good,Moderate,34.5,69,0.7466666666666667,Moderate,D
S1154,87,30,40,8,3,78,Low Risk,Good,Moderate,35.0,70,0.7566666666666667,Moderate,C
S1155,81,22,40,8,3,62,Moderate Risk,Good,Moderate,31.0,62,0.7366666666666667,Moderate,D
S1156,98,36,27,6,3,56,Moderate Risk,Excellent,Moderate,31.5,63,0.7266666666666667,Moderate,E
S1157,75,21,30,6,3,51,Moderate Risk,Good,Moderate,25.5,51,0.65,Moderate,E
S1158,74,25,27,7,3,46,High Risk,Average,Moderate,26.0,52,0.68,Moderate,F
S1159,84,34,33,7,3,67,Moderate Risk,Good,Moderate,33.5,67,0.7133333333333334,Moderate,D
S1160,86,31,36,8,3,77,Low Risk,Good,Moderate,33.5,67,0.7533333333333334,Moderate,C
S1161,100,39,40,8,3,78,Low Risk,Excellent,Moderate,39.5,79,0.7999999999999999,Moderate,C
S1162,93,40,36,9,3,81,Low Risk,Excellent,Moderate,38.0,76,0.81,High,B
S1163,89,31,28,7,3,58,Moderate Risk,Good,Moderate,29.5,59,0.73,Moderate,E
S1164,78,34,33,8,3,69,Moderate Risk,Good,Moderate,33.5,67,0.7266666666666667,Moderate,D
S1165,77,25,27,5,2,44,High Risk,Good,Low,26.0,52,0.5566666666666666,Low,F
S1166,77,29,34,7,3,61,Moderate Risk,Good,Moderate,31.5,63,0.69,Moderate,D
S1167,91,30,36,8,4,66,Moderate Risk,Excellent,Moderate,33.0,66,0.8366666666666666,High,D
S1168,92,34,30,7,3,66,Moderate Risk,Excellent,Moderate,32.0,64,0.7400000000000001,Moderate,D
S1169,92,30,40,7,3,77,Low Risk,Excellent,Moderate,35.0,70,0.7400000000000001,Moderate,C
S1170,77,32,33,7,3,62,Moderate Risk,Good,Moderate,32.5,65,0.69,Moderate,D
S1171,74,25,29,5,2,43,High Risk,Average,Low,27.0,54,0.5466666666666667,Low,F
S1172,86,33,34,9,2,62,Moderate Risk,Good,Low,33.5,67,0.7200000000000001,Moderate,D
S1173,89,34,29,8,3,68,Moderate Risk,Good,Moderate,31.5,63,0.7633333333333333,Moderate,D
S1174,87,33,33,6,3,59,Moderate Risk,Good,Moderate,33.0,66,0.69,Moderate,E
S1175,91,28,34,8,3,69,Moderate Risk,Excellent,Moderate,31.0,62,0.77,Moderate,D
S1176,92,40,36,8,2,74,Moderate Risk,Excellent,Low,38.0,76,0.7066666666666667,Moderate,C
S1177,95,36,28,8,4,71,Moderate Risk,Excellent,Moderate,32.0,64,0.85,High,C
S1178,91,37,35,9,2,79,Low Risk,Excellent,Low,36.0,72,0.7366666666666667,Moderate,C
S1179,72,33,34,8,3,60,Moderate Risk,Average,Moderate,33.5,67,0.7066666666666667,Moderate,D
S1180,80,29,23,5,3,48,High Risk,Good,Moderate,26.0,52,0.6333333333333333,Moderate,F
S1181,83,32,30,9,3,65,Moderate Risk,Good,Moderate,31.0,62,0.7766666666666667,Moderate,D
S1182,100,36,40,10,3,80,Low Risk,Excellent,Moderate,38.0,76,0.8666666666666667,High,B
S1183,79,33,26,7,3,55,Moderate Risk,Good,Moderate,29.5,59,0.6966666666666667,Moderate,E
S1184,82,29,40,7,3,67,Moderate Risk,Good,Moderate,34.5,69,0.7066666666666667,Moderate,D
S1185,83,35,32,9,2,62,Moderate Risk,Good,Low,33.5,67,0.71,Moderate,D
S1186,91,32,39,7,3,70,Moderate Risk,Excellent,Moderate,35.5,71,0.7366666666666667,Moderate,C
S1187,82,34,32,9,3,61,Moderate Risk,Good,Moderate,33.0,66,0.7733333333333333,Moderate,D
S1188,87,31,28,8,3,63,Moderate Risk,Good,Moderate,29.5,59,0.7566666666666667,Moderate,D
S1189,74,31,28,6,2,44,High Risk,Average,Low,29.5,59,0.58,Low,F
S1190,86,34,33,7,3,67,Moderate Risk,Good,Moderate,33.5,67,0.7200000000000001,Moderate,D
S1191,94,36,35,8,2,68,Moderate Risk,Excellent,Low,35.5,71,0.7133333333333334,Moderate,D
S1192,90,35,30,7,3,63,Moderate Risk,Excellent,Moderate,32.5,65,0.7333333333333334,Moderate,D
S1193,83,37,33,7,4,72,Moderate Risk,Good,Moderate,35.0,70,0.7766666666666667,Moderate,C
S1194,92,33,32,6,2,66,Moderate Risk,Excellent,Low,32.5,65,0.64,Moderate,D
S1195,92,34,29,6,3,66,Moderate Risk,Excellent,Moderate,31.5,63,0.7066666666666667,Moderate,D
S1196,88,31,31,8,3,65,Moderate Risk,Good,Moderate,31.0,62,0.7600000000000001,Moderate,D
S1197,90,34,35,8,2,65,Moderate Risk,Excellent,Low,34.5,69,0.7000000000000001,Moderate,D
S1198,93,36,38,8,3,87,Low Risk,Excellent,Moderate,37.0,74,0.7766666666666667,Moderate,B
S1199,79,31,27,8,3,62,Moderate Risk,Good,Moderate,29.0,58,0.73,Moderate,D
S1200,80,35,33,8,3,69,Moderate Risk,Good,Moderate,34.0,68,0.7333333333333334,Moderate,D
S1201,90,35,33,8,3,70,Moderate Risk,Excellent,Moderate,34.0,68,0.7666666666666667,Moderate,C
S1202,99,27,40,7,3,81,Low Risk,Excellent,Moderate,33.5,67,0.7633333333333333,Moderate,B
S1203,84,34,30,7,4,65,Moderate Risk,Good,Moderate,32.0,64,0.7799999999999999,Moderate,D
S1204,77,34,31,7,2,51,Moderate Risk,Good,Low,32.5,65,0.6233333333333334,Moderate,E
S1205,95,38,39,7,3,77,Low Risk,Excellent,Moderate,38.5,77,0.75,Moderate,C
S1206,82,35,34,8,3,72,Moderate Risk,Good,Moderate,34.5,69,0.7400000000000001,Moderate,C
S1207,82,26,33,7,3,59,Moderate Risk,Good,Moderate,29.5,59,0.7066666666666667,Moderate,E
S1208,66,22,27,6,3,43,High Risk,Average,Moderate,24.5,49,0.62,Moderate,F
S1209,84,37,29,8,3,70,Moderate Risk,Good,Moderate,33.0,66,0.7466666666666667,Moderate,C
S1210,90,33,31,8,3,67,Moderate Risk,Excellent,Moderate,32.0,64,0.7666666666666667,Moderate,D
S1211,77,27,37,8,2,66,Moderate Risk,Good,Low,32.0,64,0.6566666666666667,Moderate,D
S1212,92,31,30,7,3,60,Moderate Risk,Excellent,Moderate,30.5,61,0.7400000000000001,Moderate,D
S1213,77,40,26,8,3,61,Moderate Risk,Good,Moderate,33.0,66,0.7233333333333333,Moderate,D
S1214,80,29,32,6,4,53,Moderate Risk,Good,Moderate,30.5,61,0.7333333333333334,Moderate,E
S1215,77,26,23,6,3,47,High Risk,Good,Moderate,24.5,49,0.6566666666666667,Moderate,F
S1216,78,33,29,7,2,59,Moderate Risk,Good,Low,31.0,62,0.6266666666666666,Moderate,E
S1217,73,30,33,7,1,49,High Risk,Average,Low,31.5,63,0.5433333333333333,Low,F
S1218,82,33,29,7,2,58,Moderate Risk,Good,Low,31.0,62,0.64,Moderate,E
S1219,81,24,33,7,2,54,Moderate Risk,Good,Low,28.5,57,0.6366666666666667,Moderate,E
S1220,82,28,25,7,3,52,Moderate Risk,Good,Moderate,26.5,53,0.7066666666666667,Moderate,E
S1221,86,40,35,9,3,81,Low Risk,Good,Moderate,37.5,75,0.7866666666666666,Moderate,B
S1222,71,30,26,6,3,57,Moderate Risk,Average,Moderate,28.0,56,0.6366666666666667,Moderate,E
S1223,88,23,30,7,3,57,Moderate Risk,Good,Moderate,26.5,53,0.7266666666666667,Moderate,E
S1224,89,29,33,6,3,64,Moderate Risk,Good,Moderate,31.0,62,0.6966666666666667,Moderate,D
S1225,83,33,28,7,2,56,Moderate Risk,Good,Low,30.5,61,0.6433333333333332,Moderate,E
S1226,89,34,40,7,3,76,Low Risk,Good,Moderate,37.0,74,0.73,Moderate,C
S1227,84,35,33,9,3,69,Moderate Risk,Good,Moderate,34.0,68,0.7799999999999999,Moderate,D
S1228,99,36,40,10,3,73,Moderate Risk,Excellent,Moderate,38.0,76,0.8633333333333333,High,C
S1229,93,33,35,8,3,71,Moderate Risk,Excellent,Moderate,34.0,68,0.7766666666666667,Moderate,C
S1230,91,30,36,7,3,72,Moderate Risk,Excellent,Moderate,33.0,66,0.7366666666666667,Moderate,C
S1231,74,27,27,5,3,40,High Risk,Average,Moderate,27.0,54,0.6133333333333333,Moderate,F
S1232,85,37,27,8,3,62,Moderate Risk,Good,Moderate,32.0,64,0.75,Moderate,D
S1233,90,38,31,8,2,65,Moderate Risk,Excellent,Low,34.5,69,0.7000000000000001,Moderate,D
S1234,92,36,28,8,3,73,Moderate Risk,Excellent,Moderate,32.0,64,0.7733333333333334,Moderate,C
S1235,84,24,32,8,2,50,Moderate Risk,Good,Low,28.0,56,0.68,Moderate,E
S1236,100,37,40,9,3,87,Low Risk,Excellent,Moderate,38.5,77,0.8333333333333334,High,B
S1237,88,32,32,8,3,59,Moderate Risk,Good,Moderate,32.0,64,0.7600000000000001,Moderate,E
S1238,80,29,34,8,3,61,Moderate Risk,Good,Moderate,31.5,63,0.7333333333333334,Moderate,D
S1239,80,30,37,8,3,72,Moderate Risk,Good,Moderate,33.5,67,0.7333333333333334,Moderate,C
S1240,89,34,37,9,4,77,Low Risk,Good,Moderate,35.5,71,0.8633333333333333,High,C
S1241,91,31,36,9,3,74,Moderate Risk,Excellent,Moderate,33.5,67,0.8033333333333333,High,C
S1242,90,33,37,8,3,72,Moderate Risk,Excellent,Moderate,35.0,70,0.7666666666666667,Moderate,C
S1243,84,38,39,8,3,87,Low Risk,Good,Moderate,38.5,77,0.7466666666666667,Moderate,B
S1244,94,34,40,8,3,80,Low Risk,Excellent,Moderate,37.0,74,0.7799999999999999,Moderate,B
S1245,73,27,29,7,2,52,Moderate Risk,Average,Low,28.0,56,0.61,Moderate,E
S1246,80,29,28,7,3,52,Moderate Risk,Good,Moderate,28.5,57,0.7000000000000001,Moderate,E
S1247,86,35,30,9,4,75,Low Risk,Good,Moderate,32.5,65,0.8533333333333334,High,C
S1248,92,31,35,7,3,70,Moderate Risk,Excellent,Moderate,33.0,66,0.7400000000000001,Moderate,C
S1249,89,36,40,8,3,78,Low Risk,Good,Moderate,38.0,76,0.7633333333333333,Moderate,C
S1250,77,28,34,8,3,64,Moderate Risk,Good,Moderate,31.0,62,0.7233333333333333,Moderate,D
S1251,94,34,34,8,4,75,Low Risk,Excellent,Moderate,34.0,68,0.8466666666666667,High,C
S1252,97,39,37,9,4,87,Low Risk,Excellent,Moderate,38.0,76,0.89,High,B
S1253,99,40,33,9,3,87,Low Risk,Excellent,Moderate,36.5,73,0.8300000000000001,High,B
S1254,88,33,40,8,3,76,Low Risk,Good,Moderate,36.5,73,0.7600000000000001,Moderate,C
S1255,100,38,36,9,3,85,Low Risk,Excellent,Moderate,37.0,74,0.8333333333333334,High,B
S1256,90,29,40,8,2,80,Low Risk,Excellent,Low,34.5,69,0.7000000000000001,Moderate,B
S1257,88,32,29,8,3,69,Moderate Risk,Good,Moderate,30.5,61,0.7600000000000001,Moderate,D
S1258,86,36,37,7,2,62,Moderate Risk,Good,Low,36.5,73,0.6533333333333333,Moderate,D
S1259,79,34,28,7,3,62,Moderate Risk,Good,Moderate,31.0,62,0.6966666666666667,Moderate,D
S1260,83,31,29,8,2,53,Moderate Risk,Good,Low,30.0,60,0.6766666666666666,Moderate,E
S1261,86,34,30,8,3,54,Moderate Risk,Good,Moderate,32.0,64,0.7533333333333334,Moderate,E
